# This file contains all populations of all generations.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	RealVar1	RealVar2	RealVar3	RealVar4	RealVar5	RealVar6	RealVar7
0	15	15	-2.221903e-01	-9.489504e-01	1	6.396588e-02	7.476509e-01	6.208366e-01	2.897223e-01	4.714483e+00	1.048350e+01	3.670102e-04	8.757676e-01	
0	15	16	-8.457440e-01	-9.059328e-01	1	3.542065e-02	2.010712e-01	2.481425e-01	2.877218e-01	6.023232e+00	8.164601e+00	1.072700e-04	8.542907e-01	
0	15	17	-8.841016e-01	-8.827184e-01	1	3.871029e-01	1.757921e-01	1.125756e-01	2.208921e-01	2.726499e+00	3.639076e+00	1.115242e-04	8.742544e-01	
0	15	18	-6.665035e-01	-9.174795e-01	1	1.396475e-01	3.959681e-01	1.235217e-01	2.355130e-01	2.732052e+00	3.918574e+00	1.913343e-04	8.737205e-01	
0	15	19	-2.121409e-01	-9.494232e-01	2	1.000000e+14	7.568467e-01	6.208366e-01	2.898212e-01	4.198602e+00	4.024456e+00	3.670102e-04	8.768050e-01	
0	15	20	-8.901842e-01	-3.672084e-01	2	1.000000e+14	1.660002e-01	1.235217e-01	2.164232e-01	2.647806e+00	3.605012e+00	1.915866e-04	8.727702e-01	
0	15	21	-8.841016e-01	-5.023425e-01	2	3.308743e-01	1.757921e-01	1.125756e-01	2.208921e-01	1.938688e+01	4.012951e+00	1.823940e-04	8.742544e-01	
0	15	22	-6.389225e-01	-9.309762e-01	2	2.943112e-01	3.954899e-01	1.515200e-01	2.895975e-01	1.872731e+01	4.035508e+00	1.851460e-04	8.751422e-01	
0	15	23	-2.879236e-01	-9.350698e-01	2	2.939791e-01	6.601605e-01	3.068254e-01	3.520461e-01	7.689467e+00	8.623215e+00	1.115995e-04	1.249537e+00	
0	15	24	-8.802106e-01	-7.996579e-01	2	2.608645e-01	1.826407e-01	1.095310e-01	2.169224e-01	6.244366e+00	3.593380e+00	1.400123e-04	8.725052e-01	
0	15	25	-6.665035e-01	-9.174400e-01	2	1.644516e-01	3.959681e-01	1.235217e-01	2.355130e-01	2.729540e+00	3.918574e+00	1.913343e-04	8.737944e-01	
0	15	26	-8.393522e-01	-9.115866e-01	2	1.508904e-01	2.198021e-01	3.346634e-01	2.596940e-01	3.021831e+00	8.097851e+00	1.093570e-04	8.971287e-01	
0	15	27	-8.721278e-01	-8.873877e-01	2	8.203552e-02	1.700406e-01	1.102894e-01	2.850518e-01	2.752580e+00	4.294670e+00	1.006774e-04	8.994019e-01	
0	15	28	-8.802070e-01	-8.027567e-01	2	8.130179e-02	1.826407e-01	1.103776e-01	2.169224e-01	6.244366e+00	3.593380e+00	1.393279e-04	8.724503e-01	
0	15	29	-8.842417e-01	-4.178395e-01	2	7.736783e-02	1.758686e-01	1.169109e-01	2.190467e-01	3.199954e+00	1.037960e+01	1.913376e-04	8.746269e-01	
0	15	30	-2.479059e-01	-9.375402e-01	2	5.618058e-02	6.767967e-01	1.107453e-01	3.919743e-01	3.102646e+00	8.603489e+00	1.272876e-04	1.252028e+00	
0	15	31	-8.854595e-01	-4.113616e-01	2	4.316937e-02	1.742476e-01	1.235217e-01	2.164232e-01	3.854579e+00	3.620369e+00	1.915866e-04	8.727702e-01	
0	15	32	-2.211576e-01	-9.431583e-01	2	3.657861e-02	7.485999e-01	6.208366e-01	2.897223e-01	4.714483e+00	1.048350e+01	3.670102e-04	8.997208e-01	
0	20	1	-2.225235e-01	-9.497339e-01	1	9.030291e-02	7.476509e-01	6.060045e-01	2.897119e-01	4.652240e+00	9.775435e+00	3.616991e-04	8.746417e-01	
0	20	2	-8.997620e-01	-8.487262e-01	1	2.127058e-02	1.444141e-01	1.286468e-01	2.241415e-01	3.021831e+00	8.089743e+00	1.021118e-04	8.971287e-01	
0	20	3	-6.876133e-01	-9.250820e-01	1	1.874790e-01	3.673808e-01	1.102923e-01	2.595492e-01	3.038591e+00	4.297756e+00	1.767247e-04	8.750464e-01	
0	20	4	-3.325356e-01	-9.410096e-01	1	2.685482e-01	6.555256e-01	3.082162e-01	2.902520e-01	4.377225e+00	8.623215e+00	1.198215e-04	1.271703e+00	
0	20	5	-9.064782e-01	-8.098584e-01	1	1.000000e+14	1.101586e-01	1.241710e-01	2.346561e-01	2.887499e+00	3.962281e+00	1.029529e-04	8.773206e-01	
0	20	6	-8.986223e-01	-8.599997e-01	1	4.207473e-02	1.461086e-01	2.966891e-01	2.254237e-01	2.782620e+00	4.317627e+00	1.021370e-04	8.904156e-01	
0	20	7	-8.869239e-01	-8.978848e-01	1	5.471682e-02	1.700406e-01	1.102731e-01	2.263569e-01	2.728759e+00	4.294670e+00	1.006774e-04	8.740401e-01	
0	20	8	-3.239522e-01	-9.442348e-01	1	1.845475e-02	6.655986e-01	2.454402e-01	2.879761e-01	5.946157e+00	1.099189e+01	1.243407e-04	1.240751e+00	
0	20	9	-2.087958e-01	-9.497852e-01	1	1.078689e-02	7.568467e-01	6.067533e-01	2.961837e-01	4.653820e+00	8.022624e+00	3.584834e-04	8.746520e-01	
0	20	10	-8.917378e-01	-8.763706e-01	1	7.541291e-02	1.622119e-01	1.102894e-01	2.225474e-01	3.018120e+00	4.296057e+00	1.006915e-04	8.968722e-01	
0	20	11	-6.557855e-01	-9.305686e-01	1	5.287854e-02	3.954899e-01	1.070745e-01	2.593483e-01	3.010692e+00	4.149168e+00	1.824206e-04	8.750464e-01	
0	20	12	-9.025543e-01	-8.465201e-01	1	1.332595e-01	1.198511e-01	2.903939e-01	2.605759e-01	7.706617e+00	4.165692e+00	1.004084e-04	8.761978e-01	
0	20	13	-8.497923e-01	-9.052790e-01	1	5.807464e-02	1.974867e-01	1.215901e-01	2.877218e-01	2.860400e+00	8.164601e+00	1.051097e-04	8.737261e-01	
0	20	14	-8.907954e-01	-8.898781e-01	1	3.868873e-03	1.651253e-01	1.012845e-01	2.152321e-01	2.650452e+00	6.062909e-01	1.023627e-04	8.727702e-01	
0	20	15	-8.964930e-01	-8.698294e-01	1	6.317456e-02	1.386874e-01	1.083230e-01	2.627711e-01	5.530315e+00	3.999854e+00	1.023627e-04	8.728373e-01	
0	20	16	-8.872645e-01	-8.974299e-01	1	2.738927e-02	1.700406e-01	1.102731e-01	2.235965e-01	2.728759e+00	4.294670e+00	1.006774e-04	8.740401e-01	
0	20	17	-8.902882e-01	-8.908635e-01	1	2.939577e-02	1.658766e-01	1.083230e-01	2.164232e-01	2.647806e+00	3.180782e+00	1.023627e-04	8.727702e-01	
0	20	18	-2.087894e-01	-9.500062e-01	1	3.356986e-03	7.568467e-01	6.067533e-01	2.961940e-01	4.653820e+00	4.024456e+00	3.670102e-04	8.746520e-01	
0	20	19	-8.457440e-01	-9.059328e-01	1	2.728871e-02	2.010712e-01	2.481425e-01	2.877218e-01	6.023232e+00	8.164601e+00	1.072700e-04	8.542907e-01	
0	20	20	-8.907954e-01	-8.898781e-01	1	4.873778e-02	1.651253e-01	1.012845e-01	2.152321e-01	2.647806e+00	6.062909e-01	1.023627e-04	8.727702e-01	
0	20	21	-8.404939e-01	-9.110800e-01	1	3.597480e-02	2.198021e-01	1.295106e-01	2.610666e-01	3.021831e+00	8.089743e+00	1.093433e-04	8.971287e-01	
0	20	22	-8.994408e-01	-8.521154e-01	1	3.535427e-02	1.455761e-01	1.102894e-01	2.225957e-01	2.079184e+00	4.294670e+00	1.006774e-04	8.994019e-01	
0	20	23	-3.325024e-01	-9.440730e-01	1	1.761241e-02	6.555256e-01	3.098049e-01	2.902520e-01	4.377225e+00	8.623215e+00	1.191632e-04	1.255968e+00	
0	20	24	-9.025543e-01	-8.465201e-01	1	8.648566e-04	1.198511e-01	2.903939e-01	2.605759e-01	4.741367e+00	4.165692e+00	1.004084e-04	8.761978e-01	
0	20	25	-9.023060e-01	-8.467133e-01	1	9.845798e-03	1.198511e-01	2.931039e-01	2.619398e-01	7.596308e+00	4.356103e+00	1.004084e-04	8.761662e-01	
0	20	26	-2.070296e-01	-9.503738e-01	1	1.000000e+14	7.575677e-01	6.067533e-01	2.976953e-01	4.653820e+00	4.024456e+00	3.670102e-04	8.746520e-01	
0	20	27	-8.400171e-01	-9.148923e-01	1	1.591101e-01	2.197841e-01	3.346634e-01	2.578529e-01	3.021831e+00	3.865551e+00	1.093570e-04	8.749052e-01	
0	20	28	-6.538280e-01	-9.331552e-01	1	2.682273e-01	3.970724e-01	1.102199e-01	2.595492e-01	3.038591e+00	4.149168e+00	1.767247e-04	8.750464e-01	
0	20	29	-8.991341e-01	-8.585356e-01	1	2.863993e-02	1.446980e-01	3.098049e-01	2.258723e-01	2.782620e+00	4.317627e+00	1.021370e-04	8.901117e-01	
0	20	30	-3.094151e-01	-9.446212e-01	1	9.207343e-02	6.809877e-01	1.102731e-01	2.879761e-01	4.323364e+00	1.082232e+01	1.243407e-04	1.240751e+00	
0	20	31	-2.070296e-01	-9.503504e-01	2	1.000000e+14	7.575677e-01	6.067533e-01	2.976953e-01	4.716062e+00	4.024456e+00	3.670102e-04	8.757779e-01	
0	20	32	-9.063212e-01	4.330162e+00	2	1.000000e+14	1.113027e-01	5.870153e-01	2.181923e-01	5.545182e+00	4.378242e+00	3.664477e-04	8.756813e-01	
0	25	1	-2.070296e-01	-9.503747e-01	1	1.000000e+14	7.575677e-01	6.067533e-01	2.976953e-01	4.653820e+00	9.988007e+00	3.669717e-04	8.746520e-01	
0	25	2	-9.064786e-01	-8.100417e-01	1	1.000000e+14	1.103088e-01	1.103055e-01	2.346561e-01	2.887499e+00	3.962281e+00	1.029529e-04	8.773206e-01	
0	25	3	-3.748020e-01	-9.410787e-01	1	2.282685e-01	6.232149e-01	1.215901e-01	2.875969e-01	5.887770e+00	1.095860e+01	1.023372e-04	1.286667e+00	
0	25	4	-6.433589e-01	-9.341202e-01	1	2.187378e-01	4.058240e-01	1.102932e-01	2.603485e-01	3.009939e+00	4.149168e+00	1.710624e-04	8.751881e-01	
0	25	5	-9.029720e-01	-8.675127e-01	1	1.669078e-01	1.355299e-01	1.020651e-01	2.160078e-01	2.946675e+00	4.135122e+00	1.043578e-04	8.542331e-01	
0	25	6	-9.063051e-01	-8.302944e-01	1	1.464430e-01	1.150289e-01	1.241613e-01	2.346561e-01	2.887069e+00	3.962281e+00	1.011597e-04	8.750102e-01	
